,initial,after_games=28,after_games=56,after_games=84,after_games=112,after_games=140,after_games=168,after_games=196,after_games=224,after_games=252,after_games=280,after_games=308,after_games=336,after_games=364,after_games=392,after_games=420,after_games=448,after_games=476
AUG,1500,1371.0570422248193,1282.8892238594503,1279.5661308328836,1546.7076270308023,1628.9641841659072,1612.984272817956,1649.3650916567678,1555.7692288727524,1628.0449705089304,1648.0264420732842,1564.4977477687219,1606.2752591762783,1616.0701970743103,1641.1030398043308,1753.6295676895309,1774.0984395647492,1822.9345559423034
LAR,1500,1610.3927442359595,1932.331063300126,1629.4874774899145,1655.6079386963315,1580.4200069679582,1582.7063377275533,1548.3310352334893,1573.7928455280937,1510.2947072414431,1546.479080815286,1590.137078144152,1517.7648136815708,1599.0002030170722,1662.3298793651163,1652.2205091970545,1661.3980735463886,1679.8850883102618
JAC,1500,1399.094959715661,1530.1323120354725,1594.481638291209,1519.6266181303724,1613.236287146819,1640.4008496571205,1523.3948052194226,1546.6618976053096,1638.459179964539,1670.7343145866216,1685.0397577157908,1588.7237439649568,1576.2801213163632,1558.7335409594907,1557.1820912908647,1623.1996943378404,1642.7580888560858
OAK,1500,1719.0892147162347,1619.3713981043343,1571.3351307717337,1549.0003291394721,1474.1945864709057,1504.925571067864,1491.1306670032345,1504.1164535846772,1484.165463363961,1467.356846628414,1491.748394931358,1498.2846570099587,1390.6012001369384,1445.0971495824463,1503.085056948925,1495.2459022516548,1589.745328193687
FAR,1500,1620.4826923333699,1565.8457676892533,1761.3537050340362,1574.2964892038242,1544.3496496848734,1535.266118916167,1574.2682221999007,1583.1166940216917,1513.7317689435977,1512.5388448286676,1605.898658443745,1576.4353809390159,1616.5830581640644,1594.5016904175502,1566.5070844079974,1617.2406926013393,1588.6730610061472
PRO,1500,1748.244441484214,1896.517576158798,2069.0494586010823,1633.5058997936537,1584.5876032873139,1542.1519239717022,1541.9206599353781,1533.7429342814517,1474.013000801392,1519.3628528762633,1473.2114635751484,1593.5253752886515,1488.3994676028735,1590.3571574296122,1617.4954806699466,1605.8723070216195,1587.591518864509
CHM,1500,1570.4928256217863,1236.492117651993,1300.9878378237863,1477.8960833069118,1531.4772980815974,1624.1508786152988,1641.2762220618092,1546.1320198059025,1517.0199339881897,1521.2034665379783,1472.208763302744,1438.2384880891684,1441.9776096882806,1375.959238047985,1355.5426970229794,1397.975960767231,1541.2490136311676
ALB,1500,1412.2256556858283,1265.7514172921306,1182.8523607919974,1404.8099584336019,1336.1875649729077,1364.583191467778,1365.373742605176,1334.699296713048,1361.4187734512338,1431.2728348864746,1361.147268937329,1402.0596992622102,1366.8703245535066,1491.0437460203402,1507.953544769513,1548.2688599919425,1540.5048390681031
DES,1500,1586.3635560684813,1570.0795592926925,1462.106346660101,1441.378938198513,1503.8561967264034,1454.6698541722003,1471.6394944969875,1552.3257157202802,1394.5836095362947,1468.874388418336,1460.941757404194,1563.4260930503226,1627.2295791538747,1527.2992536945135,1552.9907239134675,1583.6333818722226,1535.0643925951551
LEX,1500,1204.2753742734565,1151.48724338052,1188.0705978709125,1363.2959280191735,1517.5979046714167,1599.7108752445215,1654.938597381298,1537.4824605544202,1596.554923211702,1534.6800558364325,1465.7530434588066,1584.5015311733569,1536.3254014895679,1574.5008042851,1479.2800699276888,1539.5621409796202,1526.2165210698229
SFS,1500,1502.5635936630442,1697.86761688197,1600.8696285967349,1610.4550057406095,1614.9756424713728,1582.443268469883,1613.0352228564398,1632.6375788177609,1609.0729704092387,1547.5221575146327,1514.1560487764132,1528.9423173284515,1513.2811884563964,1544.770034182518,1444.6279408812063,1517.3140343105574,1518.479386723628
LRO,1500,1298.301333118584,1292.484899412399,1492.195507242553,1668.525484421256,1745.8534467836553,1685.152497561095,1671.589189954655,1671.840234990881,1657.5647229920314,1572.1254995846134,1576.453517350205,1506.664354784967,1457.4135982965029,1548.6917192433752,1635.3176014898545,1610.8829361131625,1517.4458595496537
ANC,1500,1900.8780679721408,1678.9785422200243,1810.4939633428892,1681.120302726829,1735.408440745735,1555.8866546872737,1644.1985790549663,1722.6631695384467,1686.2193482864227,1791.2184059377544,1747.7571537967067,1713.8166889684878,1649.225673175145,1602.9094123410612,1542.509917177449,1500.1614359234943,1511.015314236958
MOB,1500,1555.7580363157945,1452.7333961370632,1401.2747878153252,1318.18294285741,1380.5934829847379,1292.7718460069248,1339.2207511718332,1351.9043570184722,1324.7369728480292,1412.9706940265266,1419.7015397490777,1514.6901978958836,1556.708980017602,1542.0901037413819,1501.130538575075,1517.4470776522996,1508.7325773636092
SAS,1500,1380.4218998610256,1451.4192140692708,1429.089844204477,1482.657638699937,1579.1787276022028,1602.0654168591159,1623.9675613387992,1453.7193003625564,1584.2220421146444,1608.3188055255907,1540.337576146733,1400.6568590606885,1448.3166261828676,1448.7169330464437,1582.3063964871062,1505.9675425642556,1479.9817538361904
SPR,1500,1239.5831091680013,1388.1061597879332,1579.3520084370818,1531.7566325388018,1582.5862291324165,1647.4669745580622,1736.9372358584349,1593.456824703692,1450.7032592291482,1471.0130378844444,1473.6152283474066,1595.228754750914,1642.4652746462643,1510.0838582956544,1516.0680565088705,1495.6677688463608,1474.3488757714401
BAK,1500,1438.9596230233906,1306.7040846351047,1172.6204781056308,1459.4358962378544,1388.1809100679452,1497.4926998534968,1418.5083149187471,1405.3012527021772,1551.4600861045074,1605.1348427853964,1551.081441880387,1515.8763781748053,1612.660866587996,1577.197591401845,1448.8831413586993,1354.208251529462,1473.6486868018549
REN,1500,1677.5636248231979,1600.108653710106,1613.8116670764996,1682.2599177293541,1545.0723558151294,1494.237705263904,1392.0822816224231,1445.7652123110345,1458.0924069032765,1393.2693105437786,1405.5507647856862,1489.137779798606,1554.045070022498,1453.5524565541207,1545.0501768524184,1440.142299997406,1467.639890842305
DOV,1500,1635.8440414751137,1434.0195564930577,1295.7523375636774,1567.3983756360903,1573.177957831727,1648.7619431106145,1663.7800483867427,1747.147475497756,1695.6828172726407,1540.568404840519,1522.9140732435935,1393.548839065365,1488.438358772347,1500.2851249587432,1533.913714927366,1497.3416759135657,1467.535476263758
FOR,1500,1440.4909390610499,1315.1990334229135,1432.866993519784,1433.559399871346,1363.0260562164474,1329.7589438438624,1279.0051155905712,1359.2947818878292,1448.354832506945,1412.1878541207925,1504.2368170104182,1541.9596214091466,1503.3677048997608,1430.6835285529571,1390.1104817678856,1520.561007397657,1460.0371837516263
TOL,1500,1103.4245136564498,1142.4403733849892,1366.6176904636502,1427.4989946967576,1461.4285217049662,1516.8082839176755,1565.3104943504225,1626.0647310212203,1654.7377704686535,1635.854809708612,1515.5380703322576,1613.3606814006841,1661.8034291136698,1717.0904862434056,1634.0860655272338,1565.4146612293885,1448.8267591481954
TAC,1500,1231.5866538835282,1229.8150860638393,1352.6548455744446,1238.2727644482832,1170.8277571517287,1275.0886497427464,1160.6659940269749,1196.1007543939804,1304.901245372482,1269.5889748960067,1213.017411766287,1190.0958736021946,1175.9696745008803,1165.186467668572,1289.618445913268,1408.3540865386892,1438.674780874739
EUG,1500,1662.989402477914,1343.6842168990459,1239.4970475220027,1363.913357956623,1269.9041280706135,1332.9414814858544,1466.170937852764,1552.6925575954733,1444.5876612316733,1412.0249717300385,1493.0214999621032,1504.0265509865997,1499.2407845913158,1483.9128364383937,1433.2794912112856,1481.4793640258288,1421.485676900125
WIC,1500,1539.489574561779,1686.8364866695858,1487.3396886940234,1503.652283933933,1395.9407302891702,1319.2854152295622,1294.99599110467,1397.708606444565,1407.0406502059457,1374.3538767962166,1438.692952981885,1369.906678959206,1304.8695417330216,1341.3072764308374,1423.2718220391462,1415.726354300358,1390.6061854893385
MAN,1500,1694.508461740503,1864.5725548036498,1646.0741081861263,1535.8407131611123,1507.4156815048161,1500.0799104098337,1479.2837414464627,1315.5431514559248,1371.8454055310897,1272.5325343796287,1340.5881512219712,1382.128159289894,1359.3238450596664,1413.422554617813,1408.8282978811446,1402.7127230603871,1384.39168604142
SJU,1500,1229.8210191407336,1445.2474127088615,1409.7228597602189,1326.4126435099777,1407.6300379166066,1400.1888907876555,1385.888726825816,1456.7048215898358,1402.917513341283,1433.8446218416987,1464.2523310114461,1397.4716473307847,1305.2718098104806,1263.057879901329,1326.0219110815403,1252.2178955550526,1373.9995730867372
BOI,1500,1726.8131459378908,1808.245351323802,1792.9496595619264,1551.9317499330884,1567.2123810440673,1553.7621408015086,1545.0075491240993,1477.6269047126432,1421.3516350092357,1491.146153649772,1582.0242944410406,1511.2328779570253,1446.4761969109913,1524.4832230439486,1459.3348127997767,1359.8544027653907,1348.9220903369346
TUC,1500,1499.284453760049,1810.6396826116138,1837.526200165298,1451.0000859480801,1396.7162304905582,1304.257403752768,1258.7137267217142,1325.9887382681252,1408.2223291614694,1435.795916746219,1526.4771935143924,1462.0206976008046,1561.7842150257393,1471.633013731115,1339.7543616827063,1308.0510293420741,1259.6058354442448
