,initial,after_games=28,after_games=56,after_games=84,after_games=112,after_games=140,after_games=168,after_games=196,after_games=224,after_games=252,after_games=280,after_games=308,after_games=336,after_games=364,after_games=392,after_games=420,after_games=448,after_games=476
AUG,1500,1450.0,1419.1902604124914,1433.1801488802312,1544.342732253179,1603.151689276149,1597.8144816995377,1629.28904348628,1543.4331579709778,1609.2886636827768,1633.866048820915,1558.9892606831654,1600.7289843520848,1610.3514394615027,1634.8678559930836,1746.0304647746066,1766.50362569585,1815.7254481687276
LAR,1500,1550.0,1639.2799714707692,1535.3694035521446,1610.5982911255553,1553.4860063287053,1553.8545941329608,1526.8725383071942,1564.8778900719367,1509.1787322858177,1540.7400438447255,1588.0962478354286,1514.482046186105,1593.70314580499,1657.022235065845,1646.579489438076,1656.467563908473,1675.1256327968044
JAC,1500,1492.8536882591618,1577.1265958666233,1596.537619778384,1504.0861890300293,1553.17614446039,1581.251134137127,1485.3415631362384,1515.1898369560427,1614.6850055697194,1656.6448322600654,1675.8501686422396,1582.0437178783202,1570.728536463679,1553.7950652883212,1553.061091497322,1618.2013661352385,1638.0284413062686
OAK,1500,1550.0,1523.039672277383,1544.5549210518434,1528.6742636162471,1483.2069651336933,1495.230762351905,1498.7126131135956,1508.746406441543,1487.9723077737763,1470.6638042922948,1490.6974357571776,1501.5902142920638,1394.9551372608717,1448.1429959980144,1506.1885616908357,1498.9158916284798,1593.3117305033575
FAR,1500,1507.1463117408382,1518.5380319372064,1613.9091936676705,1551.1473146707522,1539.8531394564518,1532.0528081855546,1566.1676952027726,1567.5091635750568,1511.1251417353321,1511.1251417353321,1603.6033216129829,1575.767558898039,1616.24818788141,1596.569070563413,1570.3507915443963,1621.3886185257265,1592.6572381135845
PRO,1500,1557.1463117408382,1628.929893075718,1712.8953395147466,1572.2656022910878,1547.0282115766095,1527.7640089123772,1529.988439887278,1523.9620998264968,1476.0217739342263,1517.011338276333,1472.088914148513,1588.638938537687,1484.3799993503526,1584.1650067164785,1610.7857736974095,1600.4343993569664,1582.5567185971677
ALB,1500,1450.0,1394.8385707214813,1331.2530353408636,1433.4162812899815,1373.4029045781886,1404.3000774001353,1388.8890274529952,1353.4810318671844,1375.8779317407848,1438.0611219458274,1367.755200248242,1408.8005384614528,1373.3761675517196,1496.8796755615472,1512.01984699867,1550.9398890263096,1543.5176392532373
CHM,1500,1500.0,1406.118019820662,1425.194098110718,1508.906649481758,1545.4748519052187,1608.4492655708134,1612.342384810595,1531.34890913641,1516.6669809810871,1522.3519178661982,1474.995713875495,1437.4381042504988,1440.296263999983,1373.3674310744275,1352.1384600855522,1394.8096333752778,1536.6326442903533
DES,1500,1542.8536882591618,1529.7549977361414,1504.8054245868248,1425.0752216486649,1459.6119488763811,1422.760589266558,1450.0652472893335,1520.736227277715,1389.103131253745,1463.5374153907158,1456.972934900798,1559.752931006934,1622.3200090498274,1523.632975525297,1548.2481879124189,1578.9835266265534,1530.995136142871
LEX,1500,1450.0,1375.6344472555909,1351.7655753584952,1435.3687255607033,1519.9329337739396,1580.426845483752,1622.9147784583215,1522.0264515349068,1580.8023896256686,1528.2006870804807,1465.3292049444963,1577.9293381787907,1529.03785345106,1566.5375715281098,1474.826841822184,1536.6888368279424,1523.62085444885
SFS,1500,1507.1463117408382,1587.5500045897468,1549.9985008490225,1564.5113472345595,1589.7844725528405,1572.9842001828365,1615.3017132254392,1636.6621209698105,1602.8658711781422,1544.2884251030412,1510.9088564022172,1527.877797055597,1513.3740169724758,1542.9864991615639,1446.4939016600035,1519.2251535575988,1521.2327291707807
ANC,1500,1592.8536882591618,1564.0725381412983,1605.7804818247355,1607.627932583886,1660.3507741632238,1552.828267350346,1632.6789804571113,1696.2387326330709,1665.6982388825459,1762.3378492609677,1723.4209385618392,1702.2657491924144,1642.37359369868,1599.4989832759256,1542.505705768678,1502.7431818418297,1513.795690045763
LRO,1500,1457.1463117408382,1428.8273786724358,1505.7771360704214,1620.8933449195188,1658.240365246284,1635.556296918379,1631.6631776785975,1637.0336655139986,1642.007434379828,1562.7090657667345,1569.5856450783392,1501.633708222167,1454.4621474251853,1544.5936186719991,1631.1524725569848,1606.5715471442527,1513.5906069996654
MOB,1500,1550.0,1519.0650150995195,1465.8493537636973,1375.4834129959477,1401.991810616506,1311.3702904887687,1333.7006407401573,1352.6227345180882,1332.3060892644464,1417.6579023922084,1424.222382882126,1513.1071381562278,1554.4952792739334,1539.453352217127,1498.1335216869986,1513.4306186355025,1505.1800957555704
SAS,1500,1450.0,1469.1679292588071,1449.2436016261215,1483.3575340543644,1574.6458164415042,1605.8199828846546,1624.8660456694552,1475.3177292880396,1586.222610967731,1608.3653985157998,1539.2877155653161,1403.2827058724113,1450.3205502955243,1450.4511310829691,1584.6799650614205,1509.7816107938083,1483.9321549843526
BAK,1500,1450.0,1415.0801729423097,1339.167960642122,1451.3689298825234,1416.117037380349,1497.5636295783133,1431.1830682118539,1415.1690670957714,1550.0035625997125,1608.1240113522651,1554.8486224837247,1517.2386570449814,1613.5824561072077,1579.8385778006768,1453.717384897192,1360.874153768533,1478.6064575146822
REN,1500,1507.1463117408382,1511.2473456451708,1547.7507041203605,1600.1408576804265,1537.7570452826967,1511.4929925419622,1424.0249849394443,1460.4784618295985,1462.273175669085,1400.6084361542314,1407.687540451585,1488.9520847919473,1554.3171994066718,1454.8676906183487,1547.4685520143187,1442.7559068041292,1471.261891021326
SPR,1500,1450.0,1501.0282919201761,1574.3945450660306,1527.6646283093714,1561.4035807132998,1601.2792028346767,1688.5555164259831,1579.306921951798,1453.713202952149,1471.228484028789,1475.4805258763834,1588.791294137827,1634.5248383578073,1504.178984904901,1510.2989363665122,1489.8257754452688,1470.63585448302
FOR,1500,1485.7073765183236,1431.606342613991,1492.711813885234,1465.5822920061407,1411.5803295177132,1381.3088146838988,1327.4941282871564,1380.3097577569085,1447.888248438102,1415.4484261461062,1504.3707778703724,1541.785117562337,1506.623325991848,1435.4842688518306,1395.732080605818,1524.4801203581258,1464.440384961027
DOV,1500,1557.1463117408382,1485.9414617885373,1439.3561377200585,1560.3814393317166,1553.1481063528197,1608.2648036431028,1627.85211298879,1713.4853424404926,1679.573203352759,1532.946446007372,1520.1929624364002,1392.407893770255,1485.3209603172236,1496.2641666278012,1529.3250644814793,1493.5131975957368,1463.821626529389
