,home_team,iteration_home=9,away_team,iteration_away=9
0,AUG,1747.596639246679,AUG,1735.900055697104
1,SPR,1624.1892600893511,PRO,1722.369075656556
2,ANC,1612.7662327330704,LAR,1720.2071707444138
3,LAR,1573.9857989212028,DES,1708.741831852547
4,LEX,1565.2426824740849,FAR,1636.8775063257228
5,DOV,1560.8983452095993,JAC,1636.4857913137964
6,JAC,1558.4003299058736,MOB,1604.785319672484
7,FAR,1546.379492145561,OAK,1596.1690810121531
8,TOL,1532.674402864401,CHM,1584.9247510729426
9,SAS,1527.426404690044,LRO,1561.4848217097797
10,LRO,1512.2123370332713,LEX,1546.0475212914876
11,BAK,1509.8295876613097,ALB,1540.396691294023
12,OAK,1501.7407190218898,ANC,1533.843258258765
13,SFS,1498.4399971929722,SFS,1530.0870172605262
14,FOR,1486.2731494591353,SAS,1505.114015674343
15,EUG,1472.0581231787603,TOL,1462.0581509506858
16,REN,1468.2461457239574,DOV,1448.5456809392415
17,SJU,1467.89970129241,REN,1438.3974460279708
18,PRO,1445.6712544393974,SPR,1430.3127014313386
19,MAN,1444.204628145365,BOI,1421.4597860812537
20,ALB,1426.126851416334,WIC,1412.3608814135869
21,MOB,1405.0535108938832,MAN,1411.521399352072
22,DES,1399.1209076412827,TAC,1404.8991626132606
23,CHM,1395.969030325819,BAK,1404.4863874258947
24,BOI,1369.246093422205,EUG,1386.0214061030072
25,WIC,1367.3339587855414,FOR,1371.1948323701708
26,TUC,1363.2324039201483,TUC,1299.9188845931913
27,TAC,1305.5315760319095,SJU,1257.6398079962235
